update,episodes_finished,mean_return,rmse_g,cat_rate_g,mean_post_std_g,probe_rate,pi_loss,v_loss,entropy,total_loss
1120,160,4.253399398805302,0.0002992530007768646,0.0,0.0002448315902749508,0.0,-0.017707762599457055,0.0008604649265180342,6.866253077983856,-0.08594006043858826
1140,160,4.225605435486197,0.003440233871263723,0.0125,0.00025317608354535274,0.0,-0.018816000781953335,0.001622880037757568,6.9545261561870575,-0.08754982007667422
1160,160,4.211621684681435,0.00028966826754080806,0.0,0.0002548699152895741,0.0,-0.01987909822491929,0.002098708107951097,6.938760310411453,-0.08821734576486051
1180,160,4.212366254239183,0.0002857085509985098,0.0,0.0002565999716813025,0.0,-0.016100451815873384,0.002969550318084657,6.857648074626923,-0.08319215779192746
1200,160,4.193574561391087,0.001096217453577954,0.00625,0.00026246488553012244,0.0,-0.019172285741660744,0.0011216782295377925,6.986307203769684,-0.08847451955080032
1220,160,4.190758497725318,0.0002914535946153506,0.0,0.0002635926989253026,0.0,-0.0233206223056186,0.001485876608057879,7.0244506895542145,-0.09282218851149082
1240,160,4.231057495496403,0.0003085254678233507,0.0,0.00025103757249850375,0.0,-0.01858706059283577,0.0015609904803568497,6.998997122049332,-0.08779653604142368
1260,160,4.2364616610730605,0.00030169359902256507,0.0,0.00024997433977345907,0.0,-0.014005613891640678,0.0018748248112387955,6.882940292358398,-0.08189760288223624
1280,160,4.235106198326216,0.003165649203446574,0.00625,0.00025020954351013137,0.0,-0.016052350081736222,0.0010271266510244459,6.9070873856544495,-0.08460965775884688
1300,160,4.220988428778686,0.00026948584941086036,0.0,0.00025313319615791923,0.0,-0.015958731091814116,0.001653473220358137,7.015928477048874,-0.08529127691872418
1320,160,4.238193183238492,0.00030469836307085593,0.0,0.0002490639258726752,0.0,-0.019026918977033347,0.0016534010646864772,6.7541676461696625,-0.08574189362116158
1340,160,4.236574305941128,0.0002650427237598741,0.0,0.00024903093804481,0.0,-0.019460057257674634,0.0014156341494526714,6.664712369441986,-0.08539936342276633
1360,160,4.247993557120016,0.0034742724337256266,0.00625,0.0002463538612268139,0.0,-0.019635066098999232,0.001444895715394523,6.602092057466507,-0.08493353822268546
1380,160,4.247088892553732,0.0032685702077145805,0.00625,0.0002464018663548812,0.0,-0.01996929052984342,0.0014295673245214857,6.786786586046219,-0.08712236909195781
1400,160,4.2307336100305974,0.00025659696837787685,0.0,0.000250361315768874,0.0,-0.015108187741134316,0.00289314791734796,6.798537224531174,-0.0816469844430685
1420,160,4.234097290807592,0.0002737714681254507,0.0,0.00025028469917648443,0.0,-0.022798280231654644,0.0011487431511341128,6.722696214914322,-0.08945086994208395
1440,160,4.23527981456804,0.00027563444747467377,0.0,0.00024969910841941525,0.0,-0.01707111985888332,0.0017154913730337285,6.664438635110855,-0.08285775734111667
1460,160,4.25232813791788,0.0002750653874650555,0.0,0.0002474388259406268,0.0,-0.017917075019795448,0.0013252327989903279,6.756557673215866,-0.08482003444805741
1480,160,4.207919391281743,0.0002828745878720209,0.0,0.00026037692092313787,0.0,-0.016341646725777537,0.0020059305388713256,6.4811126589775085,-0.08014980610460043
1500,160,4.214090481072904,0.0020498582157455394,0.00625,0.00025443415131696644,0.0,-0.01324056283920072,0.0022029114479664713,6.484192997217178,-0.0769810366909951
1520,160,4.195282623140723,0.00027744653036413194,0.0,0.0002599346153674958,0.0,-0.017456195317208767,0.002303213368577417,6.582529664039612,-0.08212988451123238
1540,160,4.244536156504415,0.0003020927102550484,0.0,0.0002514853964603747,0.0,-0.02066700387513265,0.0015866741596255451,6.521494925022125,-0.08508861460722983
1560,160,4.240539163441946,0.002337082801325672,0.00625,0.00025006945335746773,0.0,-0.018820291676092893,0.001915364686283283,6.647485107183456,-0.08433745754882693
1580,160,4.225934016446332,0.00026896625487234945,0.0,0.0002523474446899561,0.0,-0.01636784803122282,0.0013276064637466334,6.7172770500183105,-0.0828768138308078
1600,160,4.238696422787743,0.00029175534484876384,0.0,0.00025425480175244155,0.0,-0.015456282126251608,0.0015544935886282474,6.407945930957794,-0.07875849236734211
1620,160,4.262280982962712,0.001632159799443578,0.00625,0.00024356189676381576,0.0,-0.0157717089750804,0.002101872298226226,6.559938877820969,-0.0803201599046588
